text_gt,text_gt_wo_char
Still wrapped in the blanket the corpse drops from a great height hitting the edge of a recycling bin and then the ground in a back alley.,"Still wrapped in the blanket, it drops from a great height hitting the edge of a recycling bin and then the ground in a back alley."
Harry and Perry hot foot it down the stairs.,They hot foot it down the stairs.
Harry's car reverses up to the corpse.,His car reverses up to the corpse.
She smiles and turns her head to look up at him dreamily.,She smiles and turns her head to look up at him dreamily.
She snuggles against him.,She snuggles against him.
Harry grabs the gun and points it at the orderly.,He grabs the gun and points it at him.
Harry pistol whips the orderly with his gun.,He pistol whips the orderly with his gun.
The two men keep their guns trained on the orderly who slowly moves off.,The two men keep their guns trained on him who slowly moves off.
Perry pistol whips him.,He pistol whips him.
The orderly spits blood.,He spits blood.
The orderly hits the floor.,He hits the floor.
Dexter looks vaguely at Harry.,He looks vaguely at him.
He looks at the electrodes.,He looks at the electrodes.
"Dexter turns and leaves, a wheelie of squirts from a water pistol onto Harry's genital area.","He turns and leaves, a wheelie of squirts from a water pistol onto his genital area."
"Oh, no, it's the button.","Oh, no, it's the button."
"Outside, Harmony watches furtively from a car as the coffin is wheeled out of the Institute by two heavies followed by Dexter.","Outside, he watches furtively from a car as the coffin is wheeled out of the Institute by two heavies followed by him."
"Harry's hands down his trousers as he fires his gun at Aurelio, killing him.","He fires his gun at him, killing him."
Perry pulls out his tiny gun.,He pulls out his tiny gun.
Two older teens entered.,They entered.
Michael leaves the stall.,He leaves the stall.
His friend clenches his fist.,His friend clenches his fist.
He unfolds an ad.,He unfolds an ad.
Michael grabs the larger boy and shoves him.,He grabs him and shoves him.
He struggles against both bullies as a white-haired man bursts in.,He struggles against both bullies as a white-haired man bursts in.
The man looks at Michael.,He looks at him.
He picks up a stray stone and tosses it casually.,He picks up a stray stone and tosses it casually.
Now he hops over larger rocks and hikes between them through dead leaves.,Now he hops over larger rocks and hikes between them through dead leaves.
"Michael jumps out from behind a tree and hits him in the back of the branch, wearing his mask.","He jumps out from behind a tree and hits him in the back of the branch, wearing his mask."
The bully squirms on his back as Michael hits him in the body.,The bully squirms on his back as he hits him in the body.
He gets onto his belly and crawls away.,He gets onto his belly and crawls away.
Michael follows him and whacks him in the hip inside.,He follows him and whacks him in the hip inside.
The bully rolls away and Michael trudges over to him.,He trudges over to him.
"Michael beats the bully, who arches away from him, his nose bloody.","He beats him, who arches away from him, his nose bloody."
Michael lifts the clown mask.,He lifts the clown mask.
Michael bends over and takes the ad clipping from the bully's jacket pocket.,He bends over and takes the ad clipping from his jacket pocket.
He looks at the photo of his nude mother and folds it up.,He looks at the photo of his nude mother and folds it up.
Blood drips down the bully's cheeks.,Blood drips down his cheeks.
Michael slides the mask over his face.,He slides the mask over his face.
The bully wears a terrified expression.,He wears a terrified expression.
The tree-covered sky turns above them as Michael beats the bully repeatedly with the broken branch.,He beats him repeatedly with the broken branch.
"The bully cringes and shakes, his face and teeth blood-stained, the sun glares above them.","The bully cringes and shakes, his face and teeth blood-stained, the sun glares above them."
"Lying on his side, the bully goes limp with his eyes open.","Lying on his side, he goes limp with his eyes open."
"Upstairs, Judith dozes on her side, her back to the door.","Upstairs, she dozes on her side, her back to the door."
"Wearing the headphones, she doesn't move.","Wearing the headphones, she doesn't move."
The figure in the doorway opens it farther.,He opens it farther.
Michael steps in quietly.,He steps in quietly.
"As he comes into focus a few feet from the bed, he takes off his clown mask.","As he comes into focus a few feet from the bed, he takes off his clown mask."
"He stares at his sister, her bear behind visible under the tank top.","He stares at her, her bear behind visible under the tank top."
Michael bends down as he straightens.,He bends down as he straightens.
He puts on the greasy teen's mask.,He puts on the greasy teen's mask.
"He approaches the bed, the butcher knife dangling in his hand.","He approaches the bed, the butcher knife dangling in his hand."
He runs his bloody fingers along his sister's thigh.,He runs his bloody fingers along her thigh.
"She looks back, grabbing his hand.","She looks back, grabbing his hand."
He stabs her in the gut.,He stabs her in the gut.
He withdraws the knife.,He withdraws the knife.
She locks eyes with him through the mask's eye holes.,She locks eyes with him through the mask's eye holes.
She leans sideways as he blinks at her.,She leans sideways as he blinks at her.
"In the hallway, Judith shuffles out of her room.","In the hallway, she shuffles out of her room."
"Her tank top is soaked with blood, which runs down her legs.","Her tank top is soaked with blood, which runs down her legs."
"She leans against furniture for support, one hand on her stomach.","She leans against furniture for support, one hand on her stomach."
Blood runs out of her mouth.,Blood runs out of her mouth.
She touches the wall as she drags herself along it.,She touches the wall as she drags herself along it.
"Michael steps into the hall behind her, still wearing the mask of the grim, white-faced man.","He steps into the hall behind her, still wearing the mask of the grim, white-faced man."
"She looks back at him pleadingly, then continues down the hall.","She looks back at him pleadingly, then continues down the hall."
He strides after her calmly.,He strides after her calmly.
He stabs her in the back and she drops to her knees.,He stabs her in the back and she drops to her knees.
"As he slices at her, she lowers to the ground and pulls herself along with her red-covered hands.","As he slices at her, she lowers to the ground and pulls herself along with her red-covered hands."
Her body heaves as she lies her cheek on the floor.,Her body heaves as she lies her cheek on the floor.
Dr. Loomis mouths no and shakes his head.,He mouths no and shakes his head.
"Carrying a plaid umbrella, Michael's mother crosses to a guard in front of the sanitarium.","Carrying a plaid umbrella, she crosses to a guard in front of the sanitarium."
Michael enters the bathroom.,He enters the bathroom.
"In a stall, the driver smiles as he reads.","In a stall, he smiles as he reads."
"Michael's dirty, slippered feet stop outside the stall door.","His dirty, slippered feet stop outside the stall door."
The driver looks at them.,He looks at them.
"Michael knocks on the door, the driver's eyes narrow.","He knocks on the door, the driver's eyes narrow."
Michael's feet don't move.,His feet don't move.
The driver pulls out a knife.,He pulls out a knife.
He pulls up his pants and opens the door.,He pulls up his pants and opens the door.
"Michael charges him into the stall, grabbing Joe's wrist that holds the knife.","He charges him into the stall, grabbing his wrist that holds the knife."
He slams Joe's hand against the stall wall.,He slams his hand against the stall wall.
The stall wall warps and a glass advertisement frame breaks on the other side.,The stall wall warps and a glass advertisement frame breaks on the other side.
Michael takes the knife and Joe punches him.,He takes the knife and he punches him.
Michael stabs him in the gut.,He stabs him in the gut.
Joe sinks back against the wall.,He sinks back against the wall.
"Outside, the truck wash employees scrub and hose down the tanker.","Outside, they scrub and hose down the tanker."
She greens at him as he pulls on his pants.,She glares at him as he pulls on his pants.
"plus He pulls on his shirt, unknowingly passing Michael as he walks down the hall.","plus He pulls on his shirt, unknowingly passing him as he walks down the hall."
"As he heads downstairs, Michael's boots step up behind him on the second floor.","As he heads downstairs, his boots step up behind him on the second floor."
"Holding a knife in one hand, Michael turns his head.","Holding a knife in one hand, he turns his head."
"In a bedroom, Lori's friend changes the station on a radio.","In a bedroom, he changes the station on a radio."
"Outside, the young man rushes to the van and opens a cooler inside of it.","Outside, he rushes to the van and opens a cooler inside of it."
"In the bedroom, the teen dials on her cell phone.","In the bedroom, she dials on her cell phone."
Lori and Linda smile on either end of the line.,They smile on either end of the line.
"Meanwhile, a figure walks down the hall in a white sheet wearing the young man's glasses.","Meanwhile, a figure walks down the hall in a white sheet wearing his glasses."
Michael rips the sheet off the young man and shoves him into the stairwell.,He rips the sheet off him and shoves him into the stairwell.
"Michael holds him off the floor by the throat with one hand, the young man's dangling feet kick.","He holds him off the floor by the throat with one hand, the young man's dangling feet kick."
"Michael stabs him in the chest, the man's bare feet twitch and swing.","He stabs him in the chest, the man's bare feet twitch and swing."
"The young man stares up wide-eyed, his mouth open, his feet spasm, then hang limp.","He stares up wide-eyed, his mouth open, his feet spasm, then hang limp."
"Michael lets go of the man, pinned to the wall by the knife.","He lets go of him, pinned to the wall by the knife."
"He scrutinizes him for a moment, then turns away.","He scrutinizes him for a moment, then turns away."
"In the bedroom, Linda's back faces the door.","In the bedroom, her back faces the door."
Lori's mom grabs her.,He grabs her.
Lori gets in Annie's car.,She gets in her car.
Mrs. Strode goes into the house and her husband stays on the porch.,He goes into the house and his husband stays on the porch.
"Michael stabs him, forces him into the house, then shuts the door behind her.","He stabs him, forces him into the house, then shuts the door behind her."
"Inside, Michael drops Mr. Strode's body.","Inside, he drops his body."
Mrs. Strode stands near the fireplace wielding a poker.,She stands near the fireplace wielding a poker.
Michael grabs it from her and throws it aside.,He grabs it from her and throws it aside.
She flings books at him and he backs her against the mantle holding his bloody knife.,She flings books at him and he backs her against the mantle holding his bloody knife.
"Later, she drags herself along the floor into another room where a phone rests on a coffee table.","Later, she drags herself along the floor into another room where a phone rests on a coffee table."
Michael enters behind her as she lifts the phone's receiver.,He enters behind her as he lifts the phone's receiver.
He pulls her back and shows her a photo of Laurie.,He pulls her back and shows her a photo of him.
He chucks her onto the glass coffee table which shatters beneath her.,He chucks her onto the glass coffee table which shatters beneath her.
Then he yanks her up by her hair.,Then he yanks her up by her hair.
She looks fearfully up at his cracking mask.,She looks fearfully up at his cracking mask.
They snuggle and begin to make out.,They snuggle and begin to make out.
They stare lovingly at one another.,They stare lovingly at one another.
Her smile fades as she stares at him.,Her smile fades as she stares at him.
She wraps her arm around his neck and kisses him deeply.,She wraps her arm around his neck and kisses him deeply.
She pulls away and stares at the ceiling.,She pulls away and stares at the ceiling.
"She nods, then turns her face toward him.","She nods, then turns her face toward him."
A dorsal fin crests the surface.,A dorsal fin crests the surface.
A black figure swoops within the water.,A black figure swoops within the water.
He pulls her close.,He pulls her close.
They put on their masks and look underneath them.,They put on their masks and look underneath them.
A large shark skirts the ocean floor.,A large shark skirts the ocean floor.
Daniel draws a knife from a sheath on his calf.,He draws a knife from a sheath on his calf.
Susan looks around desperately.,She looks around desperately.
Tiny fish swim around Susan's legs.,Around it swim tiny fish.
Daniel inspects wounds on her calf.,He inspects wounds on her calf.
He looks from the semicircular array of tooth punctures to the deep ocean horizon.,He looks from the semicircular array of tooth punctures to the deep ocean horizon.
"Again, he inspects the bite.","Again, he inspects the bite."
He surfaces.,He surfaces.
High shark surfaces in front of them.,High shark surfaces in front of them.
They hold each other glancing around the opaque surface.,They hold each other glancing around the opaque surface.
Daniel puts on his snorkel.,He puts on his snorkel.
Face to face with a shark he pulls back.,He pulls back.
"The shark circles them, Daniel cups Susan's head.","The shark circles them, he cups her head."
The dark water undulates.,The dark water undulates.
A silver-haired man in cream-flambled trousers and a bull blazer appears in front of her.,A silver-haired man appears in front of her.
She grins excitedly.,She grins excitedly.
Her father points to her blue shoulder bag.,He points to her blue shoulder bag.
She brings out her purse and takes a tarot card from it.,She brings out her purse and takes a tarot card from it.
She slides it through the credit card machine and the sale goes through.,She slides it through the credit card machine and the sale goes through.
Later in a diner.,Later in a diner.
No breakfast after Isabel snaps her fingers at the wall clock.,No breakfast after she snaps her fingers at the wall clock.
The hands move back.,They move back.
Another stool is brought on.,Another stool is brought on.
Jack sits on the stool facing her and grabs something from a passing catering trolley.,He sits on the stool facing her and grabs something from a passing catering trolley.
An assistant takes Jack's cup.,He takes his cup.
The producers.,They.
The production team teaches.,They teach.
He drops two on me.,He drops two on him.
Isabel tugs at her earlobe.,She tugs at her earlobe.
Jack's head jerks.,His head jerks.
It's no cancer here again.,It's no cancer here again.
Jack shrugs helplessly.,He shrugs helplessly.
The actress playing Darren's ex.,The actress playing his ex.
Isabel wiggles her nose.,She wiggles her nose.
"About the set, the propsman calls the dog.","About the set, he calls the dog."
"Jack turns to the propsman, who brings out a string of sausages.","He turns to him, who brings out a string of sausages."
Still the dog doesn't move.,Still the dog doesn't move.
The propsman waves the sausages.,He waves the sausages.
Jack turns to him impatiently.,He turns to him impatiently.
The dog leaps across the dinner table towards her.,The dog leaps across the dinner table towards her.
And jumps into her arms.,And jumps into her arms.
Iris watches in tension.,She watches in tension.
Nina slips Isabel a note.,She slips her a note.
Isabel reads the slip of paper.,She reads the slip of paper.
Isabel tucks her ear.,She tucks her ear.
Iris notices.,She notices.
The dog leaps into Isabel's arms.,He leaps into her arms.
The audience love it.,They love it.
The producers despair.,They despair.
Jack pretends to be amused.,He pretends to be amused.
"As Isabel walks off set, Iris comes up to her.","As he walks off set, she comes up to her."
He unfolds a sheet of paper and gazes at her.,He unfolds a sheet of paper and gazes at her.
He adds inept mime actions to the lyrics.,He adds inept mime actions to the lyrics.
Isabelle gazes back at him with rasped attention and gets to his feet.,Isabelle gazes back at him with rasped attention and gets to his feet.
He flushes out chords on an imaginary guitar.,He flushes out chords on an imaginary guitar.
"She stands up and joins him, laughing despite herself.","She stands up and joins him, laughing despite herself."
Isabelle dances with high kicks.,She dances with high kicks.
They ride back to town in his Porsche with the roof down.,They ride back to town in his Porsche with the roof down.
She raises her hands high into the slipstream.,She raises her hands high into the slipstream.
Together they skip up the path to her house and sit side by side on her porch bench.,Together they skip up the path to her house and sit side by side on her porch bench.
She leans in for a kiss.,She leans in for a kiss.
She looks at him startled.,She looks at him startled.
She casts a spell and both she and Jack freeze.,She casts a spell and both she and he freeze.
"Then a second Isabelle, her double comes out of the house and looks at herself and Jack, frozen in time on the porch.","Then a second she comes out of the house and looks at herself and him, frozen in time on the porch."
The two producers slope off.,They slope off.
She grabs her things.,She grabs her things.
And storms out.,And storms out.
Jack sits stunned.,He sits stunned.
"The production team stare at him, then pretend to have something to do.","The production team stare at him, then pretend to have something to do."
Richie slides up to Jack.,He slides up to him.
Isabel is collecting her things from her trailer.,She is collecting her things from her trailer.
Jack rides up in a small bunny.,He rides up in a small bunny.
He needs it.,He needs it.
He slides in front of her.,He slides in front of her.
"She shakes her head, disarmed.","She shakes her head, disarmed."
"She watches as he practices comedy dance through jeans, then they bob and jive together.","She watches as he practices comedy dance through jeans, then they bob and jive together."
He sets her down and they kiss.,He sets her down and they kiss.
The lights fade on the cavernous sun stage.,The lights fade on the cavernous sun stage.
"In the morning, Isabelle stares and opens her eyes.","In the morning, she stares and opens her eyes."
She goes cross-eyed.,She goes cross-eyed.
Jack comes into the sun stage with a jaunty step.,He comes into the sun stage with a jaunty step.
He spots Isabelle by the cappuccino machine and gives her a private wave.,He spots her by the cappuccino machine and gives her a private wave.
"Jack's eyes follow Isabel, whatever she does.","His eyes follow her, whatever she does."
Isabel giggles and people start to notice Jack's behavior.,Is she giggling and do people start to notice his behavior?
I'll put him in a little part with maybe no... Nina steps up to Isabelle with a puzzled look.,He'll put him in a little part with maybe no... He steps up to her with a puzzled look.
Nina is called away.,She is called away.
Jack's wife pats Isabelle's shoulder.,She pats her shoulder.
"Isabel casts a spell, a huge lightning-big falls.","She casts a spell, a huge lightning-big falls."
"Landing right on top of the wife, the crew rush to help.","Landing right on top of her, the crew rush to help."
Isabel grimmuses.,Is he grimmuses?
"Reluctantly, she spools back time, and Jack's wife emerges unharmed.","Reluctantly, she spools back time, and her wife emerges unharmed."
Jack looks up and gasps.,He looks up and gasps.
What are you... Isabel makes a broomstick appear in her hand.,What are you... He makes a broomstick appear in his hand.
The broomstick rises into the air with Jack hanging from it with both arms.,The broomstick rises into the air with him hanging from it with both arms.
"Isabelle makes it fly this way and that, and spins it like a top.","She makes it fly this way and that, and spins it like a top."
She brings him down.,She brings him down.
He throws the broomstick onto the path.,He throws the broomstick onto the path.
She picks up the broomstick.,She picks up the broomstick.
"John, grab the stick.","He, grab the stick."
"Sealing with anger, she mounts the broomstick side-subtle and flies away.","Sealing with anger, she mounts the broomstick side-subtle and flies away."
"Jack stares open now, then ducks down as she swoops down towards him and whizzes past.","He stares open now, then ducks down as she swoops down towards him and whizzes past."
"She zooms away, silhouetted against bright moonlit clouds.","She zooms away, silhouetted against bright moonlit clouds."
"Jack watches, his mouth sagging open.","He watches, his mouth sagging open."
He swallows hard.,He swallows hard.
The parking valley runs towards him.,The parking valley runs towards him.
"Still holding the branch he uprooted to defend himself from Isabel, Jack stares dumbfounded at the parking valley and wanders back up the steps towards the house as if in a trance.","Still holding the branch he uprooted to defend himself from her, he stares dumbfounded at the parking valley and wanders back up the steps towards the house as if in a trance."
He tosses the branch into the shrubbery.,He tosses the branch into the shrubbery.
"Uncle Arthur, also fully dressed, lies in bed next to him.",He lies in bed next to him.
Jack keeps out of bed.,He keeps out of bed.
Uncle Arthur goes to the mirror and dabs on some aftershave.,He goes to the mirror and dabs on some aftershave.
Jack gulps a smoothie.,He gulps a smoothie.
"Jack thinks back to his first meeting with Isabel outside the bookstore, where she twitched her nose.","He thinks back to his first meeting with her outside the bookstore, where she twitched her nose."
"And when Satchel the dog licked into her arms, he recalls her trying to copy his famous crazy eye thing, and dancing with her late at night on the deserted sound stage.","And when the dog licked into her arms, he recalls her trying to copy his famous crazy eye thing, and dancing with her late at night on the deserted sound stage."
A look of realization dawns on his face.,A look of realization dawns on his face.
Her face lights up as he races across the studio floor towards her and she gets up.,Her face lights up as he races across the studio floor towards her and she gets up.
They both look up to see a shooting star fall across the shimmering starlit backdrop.,They both look up to see a shooting star fall across the shimmering starlit backdrop.
Isabelle turns to Jack in sudden realization.,Is she turns to him in sudden realization.
Isabel nods.,She nods.
Jack leans in towards her and kisses her.,He leans in towards her and kisses her.
She kisses him back and wraps her arms around his neck.,She kisses him back and wraps her arms around his neck.
Jack looks round at Lucinda the cat.,He looks round at her.
She looks at him in surprise.,She looks at him in surprise.
He squeezes her thigh affectionately.,He squeezes her thigh affectionately.
Pedro rides his bike off a foot-high ramp.,He rides his bike off a foot-high ramp.
An older woman joins Napoleon in the kitchen.,An older woman joins him in the kitchen.
Grandma puts on a pair of shades and stomps out.,She puts on a pair of shades and stomps out.
Kip slaps Napoleon on the head.,He slaps him on the head.
Rico lobs a stake in Napoleon's face.,He lobs a stake in his face.
Rico nods to himself in satisfaction.,He nods to himself in satisfaction.
Deb comes over and passes a folded up note to Pedro.,She comes over and passes a folded up note to him.
"He glances up at her, at the corner of his mouth twitches in a smile.","He glances up at her, at the corner of his mouth twitches in a smile."
"Deb smiles back, then heads off.",He heads off.
Pedro opens the note addressed to Pedro from Deb.,He opens the note addressed to him from her.
"One word in the center of the page reads, yes.","One word in the center of the page reads, yes."
At home Napoleon opens out a yearbook.,At home he opens out a yearbook.
"He traces his finger down a list of names, stopping at Tricia Stevens.","He traces his finger down a list of names, stopping at her name."
He finds a picture of a girl with a heavy fringe and long hair.,He finds a picture of her with a heavy fringe and long hair.
He puts pencil to paper and draws a rather wonky outline of her face.,He puts pencil to paper and draws a rather wonky outline of her face.
Maya looks at him tenderly.,She looks at him tenderly.
"She looks at him intensely, leaning forward and with her hand now laid over his on the arm of the chair.","She looks at him intensely, leaning forward and with her hand now laid over his on the arm of the chair."
"They hold eye contact for a long time, then Miles awkwardly moves his hand away.","They hold eye contact for a long time, then he awkwardly moves his hand away."
She looks at him sadly.,She looks at him sadly.
He goes inside and Maya rests her chin on her hand.,He goes inside and she rests her chin on her hand.
Miles splashes water over his face in the bathroom.,He splashes water over his face in the bathroom.
Miles storms back to the bar.,He storms back to the bar.
"The man comes back and pours him another tiny taster, which Miles downs again.","The man comes back and pours him another tiny taster, which he downs again."
Miles grabs the bottle off him.,He grabs the bottle off him.
"He picks up the spit bucket and downs the contents, pouring it all over himself as well.","He picks up the spit bucket and downs the contents, pouring it all over himself as well."
They drive back through the vineyards.,They drive back through the vineyards.
They pull up at the hotel where Stephanie's waiting on the steps.,They pull up at the hotel where she's waiting on the steps.
She stands up while they park and sees Miles' wine soaked shirt as he gets out of the car.,She stands up while they park and sees his wine-soaked shirt as he gets out of the car.
Miles gets a big teddy bear out of the boot.,He gets a big teddy bear out of the boot.
She gets on her bike while Miles goes to help Jack.,She gets on her bike while he goes to help him.
He opens the briefcase.,He opens the briefcase.
Tenma reaches for the lustrous core.,He reaches for the lustrous core.
He inserts the blue core into a compartment in Robot Toby's chest where a human heart would be.,He inserts the blue core into a compartment in its chest where a human heart would be.
Suction cup wires descend from a machine.,Suction cup wires descend from a machine.
They attach to Toby and lift him into the air.,They attach to him and lift him into the air.
Electricity zips through Toby's body and up the wires.,Electricity zips through his body and up the wires.
"Lab papers fly, monitors crack, computers shatter.","Lab papers fly, monitors crack, computers shatter."
Elephant steps forward.,It steps forward.
Tenma places a hand on his shoulder.,He places a hand on his shoulder.
Toby's fingers twitch.,His fingers twitch.
His arm moves.,His arm moves.
"From Toby's view, Tenma and Elephant pull into focus.","From his view, they pull into focus."
Toby struggles to his feet.,He struggles to his feet.
Moving into Toby's ear.,Moving into his ear.
Toby opens a window.,He opens a window.
"Hands around Mr. Squirt horizontal to the ground, Toby hangs precariously, his feet barely gripping the window sill.","Hands around him horizontal to the ground, he hangs precariously, his feet barely gripping the window sill."
He sprays Toby's face.,He sprays his face.
Flame spew from Toby's jetpack shoes.,Flame spew from his jetpack shoes.
He hovers.,He hovers.
He slaps himself.,He slaps himself.
The jetpack shoes turn off and on.,The jetpack shoes turn off and on.
He flips and gains control.,He flips and gains control.
He flies backward into a building.,He flies backward into a building.
The shoes thrust him upward.,The shoes thrust him upward.
He breaks through a high-speed railway and swipes past Mr. Squeegee and Mr. Squirt.,He breaks through a high-speed railway and swipes past him and him.
"The shoes shut off, then kick back on.","They shut off, then kick back on."
The stake catches fire.,The stake catches fire.
"He breaks through the smiling teeth of a toothpaste hat, smile bright.","He breaks through the smiling teeth of a toothpaste hat, smile bright."
"His shoes zip over a sunbather, giving her an immediate sun tan.","His shoes zip over a sunbather, giving her an immediate sun tan."
"Flailing his arms, Toby flies into a tunnel and dodges traffic.","Flailing his arms, he flies into a tunnel and dodges traffic."
"miles per hour, he breaks through the tunnel ceiling and runs ahead of a high-speed train.",He breaks through the tunnel ceiling and runs ahead of a high-speed train.
The shoes ignite as Toby backflips and hovers over the railway.,The shoes ignite as he backflips and hovers over the railway.
A spotlight shines on Toby.,A spotlight shines on him.
"Green, tentacle-like suction cups extend for the lead ship.","Green, tentacle-like suction cups extend for it."
A man proposes.,He proposes.
"A policeman's helmet reads, target tracking, and closes in on Toby, who zips around a building.","A policeman's helmet reads, target tracking, and closes in on him, who zips around a building."
He slams into the windscreen of another ship.,He slams into the windscreen of another ship.
The windshield wiper whips at Toby's face.,The windshield wiper whips at his face.
Suction cups seize his arms and legs.,Suction cups seize his arms and legs.
He tugs in restraints.,He tugs in restraints.
The police ship scrapes against a building.,It scrapes against a building.
A helmet flashes.,A helmet flashes.
Dinner returning.,Returning.
The ship shifted to reverse and pull Toby back.,The ship shifted to reverse and pull him back.
Flames burst from the shoes.,Flames burst from them.
"In a tug of war, Toby pulls the ships toward the skyscraper with a narrow slit running through the middle.","In a tug of war, he pulls the ships toward the skyscraper with a narrow slit running through the middle."
A ship's windscreen starts to crack.,A ship's windscreen starts to crack.
He peels open a back compartment door and steps inside the robot.,He peels open a back compartment door and steps inside the robot.
Dozens of wires connect to the robot's cylindrical core.,Dozens of wires connect to its cylindrical core.
He brushes dust off a panel.,He brushes dust off a panel.
Toby's eyes illuminate.,His eyes illuminate.
They shine in a control panel.,They shine in a control panel.
Toby smiles and glances around.,He smiles and glances around.
His eyes stop at wiring tucked behind a door.,His eyes stop at wiring tucked behind a door.
Toby lifts his shirt.,He lifts his shirt.
"The seal around his blue core glows, then opens.","The seal around his blue core glows, then opens."
Energy flows from Toby's core to Zog's.,Energy flows from his core to her core.
Toby turns.,He turns.
Zog's core rotates to life.,His core rotates to life.
outside the warehouse.,outside the warehouse.
Tiger the robot puts up fists and mimics a boxer.,He puts up fists and mimics a boxer.
Zog crushes Tiger the boxer.,He crushes him.
Zog powers over Ham-Egg.,He powers over him.
A gate opens.,A gate opens.
A samurai robot wielding somblades for hands swipes a Toby who stands still.,A samurai robot wielding somblades for hands swipes a Toby who stands still.
The samurai pierces the ground where Toby stood.,He pierces the ground where he stood.
Toby flies skyward.,He flies skyward.
Hemag sneers.,He sneers.
Toby plummets to the ground.,He plummets to the ground.
Hemex eyes widen.,His eyes widen.
Robot dozers push the body off the arena.,They push it off the arena.
Toby soars around the coliseum walls.,He soars around the coliseum walls.
Zag reaches for Toby.,He reaches for him.
He nudges Toby.,He nudges him.
Zog stops.,He stops.
Widget averse her eyes and Korra's chest.,She averts her eyes and his chest.
"She and Korra glance up, hammock cowers.","They glance up, a hammock cowers."
Toby holds up Zog's foot.,He holds up his foot.
Toby and Korra share a look.,They share a look.
The car flies toward Metro City.,The car flies toward Metro City.
Ston slaps the ground.,He slaps the ground.
Toby bursts through the concrete behind Stone.,He bursts through the concrete behind him.
Jagged steel spikes extend from his back.,Jagged steel spikes extend from his back.
The cannon fire whips at his face.,The cannon fire whips at his face.
Stone punches a building.,He punches a building.
Stone grabs Toby.,He grabs him.
Stone's right eye shatters.,His right eye shatters.
Stone lifts a building from its foundation.,He lifts a building from its foundation.
He slowly lifts himself out of rubble.,He slowly lifts himself out of rubble.
Pedestrians flee.,They flee.
His foot's shadow looms over Toby.,His foot's shadow looms over him.
Trashcan looks from the front seat.,They look from the front seat.
Trashcan swerves away from Stone's face.,He swerves away from his face.
Vayne slips into the driver's seat.,He slips into the driver's seat.
Cora averts her eyes.,She averts her eyes.
Zog nods.,He nods.
Zog lumbers closer.,He lumbers closer.
Blue light radiates from Zog's fingertip and into Toby's core.,Blue light radiates from his fingertip and into her core.
Zog lifts his finger.,He lifts his finger.
Toby lifts off the ground.,He lifts off the ground.
The light whirls around him like electrons.,The light whirls around him like electrons.
Tenma steps through the crowd of onlookers.,He steps through the crowd of onlookers.
The posh woman cuddles up to her suited husband.,She cuddles up to him.
The rich couple are sitting in a black 4x4.,They are sitting in a black 4x4.
"She has long, medium brown hair tinged with highlights.","She has long, medium brown hair tinged with highlights."
She has a pretty elfin face but a stern expression.,She has a pretty elfin face but a stern expression.
They meet in the hallway.,They meet in the hallway.
The man with thick set yet handsome features stands motionless hands on hips.,He stands motionless hands on hips.
"Jean, his wife, is in the kitchen standing over the sink.",She is in the kitchen standing over the sink.
She looks round.,She looks round.
The locksmith glances at her with a resentful look and shuts his toolbox.,The locksmith glances at her with a resentful look and shuts his toolbox.
He places two sets of keys on the counter next to her and walks away.,He places two sets of keys on the counter next to her and walks away.
She stares down at them for a moment thoughtfully.,She stares down at them for a moment thoughtfully.
"The man mirrors the cop, putting his finger on his nose.","He mirrors him, putting his finger on his nose."
watches from the patrol car.,He watches from the patrol car.
John feels the young woman.,He feels her.
"Mr. Thayer looks with concern at his wife, whose lip is trembling.","He looks with concern at his wife, whose lip is trembling."
The woman shakes her head gently.,She shakes her head gently.
Tommy stares at his partner.,He stares at his partner.
The man puts a teddy bear on the floor and rests his head on it.,He puts a teddy bear on the floor and rests his head on it.
The little girl shrugs.,She shrugs.
She touches his sleeve.,She touches his sleeve.
The little girl smiles and nods her head.,She smiles and nods her head.
His boss is a black man.,His boss is a black man.
Tommy thinks.,He thinks.
The police lieutenant puts on his cap and walks away.,He puts on his cap and walks away.
The locksmith is leaning into the side door of his van.,He is leaning into the side door of his van.
He slides the door shut.,He slides the door shut.
The shopkeeper reaches him and points his gun at him.,He reaches him and points his gun at him.
A woman is in the kitchen.,She is in the kitchen.
She rushes out of the door.,She rushes out of the door.
The man is pointing the gun at her father.,He is pointing the gun at her father.
She jumps into her daddy's arms.,She jumps into her daddy's arms.
The locksmith closes his eyes and lets out a huge scream.,He closes his eyes and lets out a huge scream.
The shopkeeper stares at his gun.,He stares at his gun.
The mother sinks to her knees with an anguished cry.,She sinks to her knees with an anguished cry.
"The shopkeeper stands motionless, still holding his gun.","He stands motionless, still holding his gun."
He looks confused and overwhelmed.,He looks confused and overwhelmed.
The locksmith grips his little girl.,The locksmith grips his little girl.
"Open mouthed and bewildered, the locksmith lifts his little girl and pulls her school jumper up one side of her back.","Open mouthed and bewildered, he lifts his little girl and pulls her school jumper up one side of her back."
Then he repeats this on the other side.,Then he repeats this on the other side.
There are no gunshot wounds.,There are no gunshot wounds.
The Persian man watches open mouthed too.,He watches open mouthed too.
The locksmith glances at him and carries the girl back towards the house.,The locksmith glances at him and carries her back towards the house.
The shopkeeper has the expression of a broken man.,He has the expression of a broken man.
The woman holds the little girl's hand.,She holds her hand.
"Weeping, the locksmith pulls his daughter closer to him as he carries her inside.","Weeping, he pulls her closer to him as he carries her inside."
